text
"Together, the Bipartisan Infrastructure Law and Build Back Better Act will create millions of jobs, lower costs for working families, and meet the moment on climate change. 

These are transformative investments in the American people and our future."
Tribal lands have been chronically underfunded for generations. I’m proud to say that the Bipartisan Infrastructure Law will be the single largest investment in Tribal infrastructure ever—and we won’t stop there.
"Because of the Bipartisan Infrastructure Law, next year will be the first year in 20 years that American infrastructure investments will grow faster than China. 

Historians will look back at this time as the moment America began to win the competition of the 21st century."
"Throughout our history, we've emerged from crises by investing in ourselves.

And as we emerge from the COVID-19 pandemic, we'll rebuild the economy from the bottom up and middle out. That’s what the Bipartisan Infrastructure Law and the Build Back Better Act will do."
"The Bipartisan Infrastructure Law makes the most significant investment in public transit in the history of our nation. 
 
You’re going to go places faster, safer, and with a lot less pollution in the air."
I announced five new initiatives that will help protect the dignity and sovereignty of Tribal Nations. https://t.co/72ga28TpqZ
"The Bipartisan Infrastructure Deal will modernize our ports, our airports, and our freight rail to make it easier for companies to get goods to market. It will reduce the supply chain bottlenecks we’re currently experiencing and lower costs for you and your family."
"The Bipartisan Infrastructure Deal makes the most significant investment in roads and bridges in the past 70 years, the most significant investment in passenger rail in the past 50 years, and the most significant investment in public transit in our nation's history. It’s a BFD."
My message to the American people is this: America is moving again. And your life is going to change for the better thanks to the Bipartisan Infrastructure Deal.
"From the moment I entered the White House, I promised that I would be a president for all Americans and make sure our democracy delivers for all of you. Signing the Bipartisan Infrastructure Deal is a monumental step forward toward building back better as a nation. https://t.co/fe0K5g5v3k"
"The Bipartisan Infrastructure Deal makes historic investments in our infrastructure to rebuild our roads and bridges, deliver clean water and high-speed internet, modernize our electrical grid, and help transition to a clean energy economy. 

It is now law."
"I just signed the Bipartisan Infrastructure Deal into law alongside members of Congress from both parties. 

This is a historic investment in our future that will create good-paying jobs and rebuild our nation's infrastructure. It's an enormous win for the American people."
"Seventeen Nobel Prize winning economists said that Build Back Better will ease longer-term inflationary pressures and lower costs for American families.

We can get this done."
"This morning, @FLOTUS and I are participating in a Tribal Nations Summit here at the White House. I look forward to announcing steps to improve public safety and justice for Native Americans, protect Tribal lands, treaty rights, and sacred places."
